channel_alias,rank,title,url,video_id,view_count,like_count,comment_count,published_at
russian,3,"Маша и Медведь 💤 Колыбельная песня (Спи, моя радость, усни!) 💤 😴 Песенки для детей",https://www.youtube.com/watch?v=Rer9g8kd4IY,Rer9g8kd4IY,864139613,1816742,0,2017-02-10T09:00:01Z
russian,4,Маша и Медведь - Двое на одного 👧 (Серия 36),https://www.youtube.com/watch?v=os00JDq_rKk,os00JDq_rKk,580816664,755720,0,2013-10-07T13:56:26Z
russian,5,Кому фигурки из теста?🥟🥨 #Shorts #машаимедведь #ПриятногоАппетита #MashaandtheBear #тесто #фигурки,https://www.youtube.com/watch?v=ff_Inx2U4vI,ff_Inx2U4vI,537546087,4822781,0,2023-08-17T06:00:24Z
russian,6,Маша и Медведь 💥 НОВАЯ СЕРИЯ 💥 День варенья 🍎🍒 (Серия 6) Masha and the Bear,https://www.youtube.com/watch?v=Cv93i0FHnNk,Cv93i0FHnNk,527296084,1110461,0,2013-05-27T15:39:56Z
russian,7,"Маша и Медведь 💥 НОВАЯ СЕРИЯ 💥 Спи, моя радость, усни! 💤 😴 (Серия 62) Masha and the Bear",https://www.youtube.com/watch?v=w6aHuTzJSaE,w6aHuTzJSaE,459581430,1123600,0,2017-02-03T09:00:04Z
russian,8,Решение от незваных гостей 😱 #Shorts #машаимедведь #УСтрахаГлазаВелики #MashaandtheBear,https://www.youtube.com/watch?v=aj60lQbEkJE,aj60lQbEkJE,415793357,2653884,0,2025-03-02T06:00:01Z
russian,9,Маша и Медведь - Дорогая передача 🎥 (49 серия),https://www.youtube.com/watch?v=WPWJJsEnYEM,WPWJJsEnYEM,414746355,815921,0,2015-04-03T12:00:02Z
russian,10,Маша и Медведь - Неуловимые мстители (Серия 51),https://www.youtube.com/watch?v=6Fn6bl5Zq1k,6Fn6bl5Zq1k,398461403,490522,0,2015-07-09T12:00:00Z
russian,11,Маша и Медведь - Крик победы 🎾 (Серия 47),https://www.youtube.com/watch?v=K61RH8Ga4M8,K61RH8Ga4M8,389040379,623449,0,2014-12-17T12:00:13Z
russian,12,Маша и Медведь 💥 НОВАЯ СЕРИЯ 💥 Пещерный медведь 🐻🗿⚗️ (Серия 48) Masha and the Bear,https://www.youtube.com/watch?v=BYW_GSnctLs,BYW_GSnctLs,385300612,642915,0,2015-02-04T11:00:00Z
